#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
17795;1314115200;746;1.44425;1.44628;1.43803;1.43834;0.00830124;1.39632465
17794;1314118800;746;1.43844;1.44172;1.43755;1.43911;0.01145847;1.39632465
17793;1314122400;746;1.4391;1.44324;1.43844;1.44291;0.02061806;1.39632465
17792;1314126000;746;1.44292;1.44326;1.44198;1.44226;0.01783312;1.39632465
17791;1314129600;746;1.44229;1.44271;1.44115;1.44158;0.01277765;1.39632465
17790;1314133200;746;1.44165;1.44269;1.44064;1.44238;0.01815749;1.39632465
17789;1314136800;746;1.4424;1.44469;1.44221;1.44404;0.02247168;1.39632465
17788;1314140400;746;1.44402;1.44451;1.44317;1.44401;0.02108711;1.39632465
17787;1314144000;745;1.44403;1.44416;1.44285;1.44345;0.02099137;1.39680025
17786;1314147600;745;1.44345;1.44373;1.44236;1.44324;0.02147945;1.39680025
17785;1314151200;745;1.44328;1.44382;1.44266;1.44379;0.02381233;1.39680025
17784;1314154800;745;1.44372;1.44417;1.44111;1.44169;0.02076036;1.39680025
17783;1314158400;745;1.44169;1.44244;1.43996;1.44071;0.01741502;1.39680025
17782;1314162000;745;1.4407;1.44169;1.4391;1.43946;0.01971573;1.39680025
17781;1314165600;745;1.43945;1.44066;1.43863;1.44054;0.01586905;1.39680025
17780;1314169200;745;1.44053;1.44127;1.44032;1.44116;0.01739571;1.39680025
17779;1314172800;745;1.44115;1.44206;1.43949;1.44022;0.01683076;1.39680025
17778;1314176400;745;1.44024;1.4434;1.43998;1.4427;0.0197477;1.39680025
17777;1314180000;745;1.44271;1.44371;1.43923;1.43962;0.01278115;1.39680025
17776;1314183600;745;1.4396;1.44496;1.43785;1.44354;0.01994403;1.39680025
17775;1314187200;745;1.44358;1.44705;1.4433;1.4467;0.02882422;1.39680025
17774;1314190800;745;1.44671;1.4475;1.44458;1.44501;0.02413132;1.39680025
17773;1314194400;745;1.445;1.44678;1.44302;1.44346;0.01920386;1.39680025
17772;1314198000;745;1.44342;1.44765;1.44272;1.4448;0.02296512;1.39680025
17771;1314201600;745;1.44481;1.44784;1.44282;1.44732;0.02959954;1.39680025
17770;1314205200;745;1.44732;1.44811;1.43992;1.44095;0.01619071;1.39680025
17769;1314208800;745;1.44093;1.44197;1.4388;1.43996;0.01413928;1.39680025
17768;1314212400;745;1.43997;1.44141;1.439;1.4411;0.01734092;1.39680025
17767;1314216000;745;1.44111;1.44265;1.44053;1.44234;0.01668816;1.39680025
17766;1314219600;745;1.4424;1.44279;1.44162;1.44204;0.02016588;1.39680025
17765;1314223200;745;1.44203;1.44266;1.44168;1.44198;0.01898778;1.39680025
17764;1314226800;745;1.44197;1.44213;1.4411;1.4413;0.02029418;1.39680025
17763;1314230400;744;1.44133;1.44169;1.44065;1.44074;0.02132932;1.3972422
17762;1314234000;744;1.44077;1.4416;1.44052;1.44101;0.01922263;1.3972422
17761;1314237600;744;1.44102;1.44114;1.44031;1.44069;0.01572163;1.3972422
17760;1314241200;744;1.44069;1.44154;1.44017;1.44043;0.00870573;1.3972422
17759;1314244800;744;1.44044;1.44045;1.43891;1.43988;0.00776454;1.3972422
17758;1314248400;744;1.43987;1.44104;1.43958;1.43988;0.00755619;1.3972422
17757;1314252000;744;1.43986;1.44116;1.43959;1.44069;0.01481235;1.3972422
17756;1314255600;744;1.44067;1.44145;1.44027;1.44055;0.0177224;1.3972422
17755;1314259200;744;1.44056;1.44135;1.43983;1.4405;0.01763277;1.3972422
17754;1314262800;744;1.4405;1.44332;1.44028;1.44209;0.02197505;1.3972422
17753;1314266400;744;1.44209;1.44686;1.44206;1.4454;0.03098104;1.3972422
17752;1314270000;744;1.44543;1.44742;1.44465;1.44473;0.02988794;1.3972422
17751;1314273600;744;1.44474;1.44479;1.44071;1.44129;0.02048859;1.3972422
17750;1314277200;744;1.44128;1.44531;1.44096;1.44439;0.02691794;1.3972422
